DateTime,Demand,Price
6/04/2000 23:30,4960.89833,40.9
7/04/2000 2:30,3836.58833,18.42
7/04/2000 5:30,4020.085,18
7/04/2000 8:30,5496.92333,73.5
7/04/2000 11:30,5454.33333,45.07
7/04/2000 14:30,5328.365,33.8
7/04/2000 17:30,5284.035,35.96
7/04/2000 20:30,4937.93,20.84
7/04/2000 23:30,4831.505,69.21
8/04/2000 2:30,3636.76167,18
8/04/2000 5:30,3667.86667,18
8/04/2000 8:30,4678.30667,20.99
8/04/2000 11:30,4864.73,35.55
8/04/2000 14:30,4527.76,20.64
8/04/2000 17:30,4740.63667,23.89
8/04/2000 20:30,4634.965,20.87
8/04/2000 23:30,4564.93333,23.24
9/04/2000 2:30,3511.88,17.71
9/04/2000 5:30,3468.48833,13.87
9/04/2000 8:30,4295.505,18
9/04/2000 11:30,4499.59667,20.55
9/04/2000 14:30,4330.57167,17.56
9/04/2000 17:30,4643.37167,20.7
9/04/2000 20:30,4772.95333,21.49
9/04/2000 23:30,4591.90167,20.97
10/04/2000 2:30,3677.545,18
10/04/2000 5:30,3846.05333,18
10/04/2000 8:30,5444.90667,38.48
10/04/2000 11:30,5528.25167,38.61
10/04/2000 14:30,5450.92833,34
10/04/2000 17:30,5507.33667,37.32
10/04/2000 20:30,5165.31833,21.5
10/04/2000 23:30,4923.26667,33.9
11/04/2000 2:30,3747.15,15.77
11/04/2000 5:30,3935.25667,17.9
11/04/2000 8:30,5484.60667,62.37
11/04/2000 11:30,5415.4,40.25
11/04/2000 14:30,5403.36833,34.25
11/04/2000 17:30,5473.99833,34.05
11/04/2000 20:30,5175.68667,21.67
11/04/2000 23:30,4926.56667,32.15
12/04/2000 2:30,3822.87,17.6
12/04/2000 5:30,3935.105,17.91
12/04/2000 8:30,5416.60167,60.75877
12/04/2000 11:30,5403.80167,70.28
12/04/2000 14:30,5358.70833,56.19
12/04/2000 17:30,5444.80333,54.28
12/04/2000 20:30,5174.11833,22.18
12/04/2000 23:30,4988.30667,37.76
13/04/2000 2:30,3825.42167,17.35
13/04/2000 5:30,3958.61167,17.9
13/04/2000 8:30,5467.035,46.67
13/04/2000 11:30,5440.245,36.01
13/04/2000 14:30,5359.86833,33.5
13/04/2000 17:30,5488.78167,34.5
13/04/2000 20:30,5284.05167,37.71
13/04/2000 23:30,4979.13167,33.24
14/04/2000 2:30,3816.18667,17.32
14/04/2000 5:30,3940.855,19.33
14/04/2000 8:30,5542.65833,33.09
14/04/2000 11:30,5566.21833,34.25
14/04/2000 14:30,5419.64,27.81
14/04/2000 17:30,5394.79167,28.46
14/04/2000 20:30,5052.83833,20.79
14/04/2000 23:30,4957.07333,25.11
15/04/2000 2:30,3732.15333,15.58
15/04/2000 5:30,3715.43833,20.69
15/04/2000 8:30,4807.18,20.7
15/04/2000 11:30,4969.35333,23.11
15/04/2000 14:30,4700.06167,20.63
15/04/2000 17:30,4909.49667,22.27
15/04/2000 20:30,4759.93333,20.77
15/04/2000 23:30,4681.65,24.05
16/04/2000 2:30,3585.41833,15.12
16/04/2000 5:30,3535.275,15.1
16/04/2000 8:30,4335.605,18
16/04/2000 11:30,4536.23833,20.08
16/04/2000 14:30,4451.30333,18
16/04/2000 17:30,4758.27833,21.79
16/04/2000 20:30,4854.62833,23.34
16/04/2000 23:30,4639.955,28.69
17/04/2000 2:30,3706.62167,22.22
17/04/2000 5:30,3895.715,20.32
17/04/2000 8:30,5522.86833,58
17/04/2000 11:30,5554.74333,40.27
17/04/2000 14:30,5550.09667,36.96
17/04/2000 17:30,5670.71833,43.63
17/04/2000 20:30,5279.17167,23.43
17/04/2000 23:30,4966.96,29.3
18/04/2000 2:30,3841.33667,17.38
18/04/2000 5:30,3984.83333,20.37
18/04/2000 8:30,5513.31167,36.36
18/04/2000 11:30,5601.14167,41.51
18/04/2000 14:30,5571.22,37.76
18/04/2000 17:30,5665.61333,44.92
